Sat Jun  8 21:25:59 2013, (0 clock):	Start log file
Sat Jun  8 21:25:59 2013, (0 clock):	Inequality on param.dimensions cause width recalculation
Sat Jun  8 21:25:59 2013, (0 clock):	Some of the parameters in the given file were wrong - using default ones.
Sat Jun  8 21:25:59 2013, (0 clock):	Parameters loaded.
Sat Jun  8 21:25:59 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 10000
    length: 100
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Sat Jun  8 22:17:01 2013, (2933320000 clock):	153000 evaluated; 0 wrong controls; 37338 violate mass constrain.
Sat Jun  8 22:17:21 2013, (2952280000 clock):	154000 evaluated; 0 wrong controls; 37591 violate mass constrain.
Sat Jun  8 22:17:40 2013, (2971030000 clock):	155000 evaluated; 0 wrong controls; 37842 violate mass constrain.
Sat Jun  8 22:18:01 2013, (2990040000 clock):	156000 evaluated; 0 wrong controls; 38088 violate mass constrain.
Sat Jun  8 22:18:20 2013, (3008350000 clock):	157000 evaluated; 0 wrong controls; 38366 violate mass constrain.
Sat Jun  8 22:18:39 2013, (3027320000 clock):	158000 evaluated; 0 wrong controls; 38626 violate mass constrain.
Sat Jun  8 22:18:59 2013, (3046150000 clock):	159000 evaluated; 0 wrong controls; 38866 violate mass constrain.
Sat Jun  8 22:19:18 2013, (3064290000 clock):	160000 evaluated; 0 wrong controls; 39116 violate mass constrain.
Sat Jun  8 22:19:38 2013, (3082930000 clock):	161000 evaluated; 0 wrong controls; 39351 violate mass constrain.
Sat Jun  8 22:19:58 2013, (3101640000 clock):	162000 evaluated; 0 wrong controls; 39613 violate mass constrain.
Sat Jun  8 22:20:17 2013, (3120400000 clock):	163000 evaluated; 0 wrong controls; 39855 violate mass constrain.
Sat Jun  8 22:20:37 2013, (3139160000 clock):	164000 evaluated; 0 wrong controls; 40093 violate mass constrain.
Sat Jun  8 22:20:57 2013, (3157400000 clock):	165000 evaluated; 0 wrong controls; 40343 violate mass constrain.
Sat Jun  8 22:21:16 2013, (3175350000 clock):	166000 evaluated; 0 wrong controls; 40615 violate mass constrain.
Sat Jun  8 22:21:35 2013, (3193560000 clock):	167000 evaluated; 0 wrong controls; 40880 violate mass constrain.
Sat Jun  8 22:21:56 2013, (3213340000 clock):	168000 evaluated; 0 wrong controls; 41114 violate mass constrain.
Sat Jun  8 22:22:15 2013, (3231570000 clock):	169000 evaluated; 0 wrong controls; 41365 violate mass constrain.
Sat Jun  8 22:22:35 2013, (3250850000 clock):	170000 evaluated; 0 wrong controls; 41633 violate mass constrain.
Sat Jun  8 22:22:54 2013, (3268920000 clock):	171000 evaluated; 0 wrong controls; 41888 violate mass constrain.
