Tue Jul  2 12:48:38 2013, (0 clock):	Start log file
Tue Jul  2 12:48:38 2013, (0 clock):	Parameters loaded.
Tue Jul  2 12:48:38 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 2
  type: IDW-CONTROLS
Tue Jul  2 12:48:38 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Tue Jul  2 13:23:32 2013, (2040390000 clock):	137000 evaluated; 0 wrong controls; 74331 violate mass constrain.
Tue Jul  2 13:23:42 2013, (2050390000 clock):	138000 evaluated; 0 wrong controls; 75222 violate mass constrain.
Tue Jul  2 13:23:54 2013, (2062080000 clock):	139000 evaluated; 0 wrong controls; 75994 violate mass constrain.
Tue Jul  2 13:24:16 2013, (2083370000 clock):	140000 evaluated; 0 wrong controls; 76210 violate mass constrain.
Tue Jul  2 13:24:36 2013, (2102790000 clock):	141000 evaluated; 0 wrong controls; 76395 violate mass constrain.
Tue Jul  2 13:24:55 2013, (2122120000 clock):	142000 evaluated; 0 wrong controls; 76580 violate mass constrain.
Tue Jul  2 13:25:15 2013, (2141250000 clock):	143000 evaluated; 0 wrong controls; 76741 violate mass constrain.
Tue Jul  2 13:25:35 2013, (2160860000 clock):	144000 evaluated; 0 wrong controls; 76928 violate mass constrain.
Tue Jul  2 13:25:55 2013, (2180390000 clock):	145000 evaluated; 0 wrong controls; 77150 violate mass constrain.
Tue Jul  2 13:26:14 2013, (2199230000 clock):	146000 evaluated; 0 wrong controls; 77345 violate mass constrain.
Tue Jul  2 13:26:27 2013, (2212090000 clock):	147000 evaluated; 0 wrong controls; 77990 violate mass constrain.
Tue Jul  2 13:26:38 2013, (2222260000 clock):	148000 evaluated; 0 wrong controls; 78901 violate mass constrain.
Tue Jul  2 13:26:48 2013, (2231890000 clock):	149000 evaluated; 0 wrong controls; 79789 violate mass constrain.
Tue Jul  2 13:27:05 2013, (2248390000 clock):	150000 evaluated; 0 wrong controls; 80133 violate mass constrain.
Tue Jul  2 13:27:26 2013, (2269490000 clock):	151000 evaluated; 0 wrong controls; 80274 violate mass constrain.
Tue Jul  2 13:27:45 2013, (2288480000 clock):	152000 evaluated; 0 wrong controls; 80436 violate mass constrain.
Tue Jul  2 13:28:06 2013, (2308400000 clock):	153000 evaluated; 0 wrong controls; 80608 violate mass constrain.
Tue Jul  2 13:28:25 2013, (2326860000 clock):	154000 evaluated; 0 wrong controls; 80782 violate mass constrain.
Tue Jul  2 13:28:45 2013, (2346810000 clock):	155000 evaluated; 0 wrong controls; 80968 violate mass constrain.
Tue Jul  2 13:29:04 2013, (2365590000 clock):	156000 evaluated; 0 wrong controls; 81135 violate mass constrain.
Tue Jul  2 13:29:19 2013, (2379790000 clock):	157000 evaluated; 0 wrong controls; 81697 violate mass constrain.
Tue Jul  2 13:29:28 2013, (2389310000 clock):	158000 evaluated; 0 wrong controls; 82596 violate mass constrain.
Tue Jul  2 13:29:39 2013, (2399050000 clock):	159000 evaluated; 0 wrong controls; 83501 violate mass constrain.
Tue Jul  2 13:29:49 2013, (2409240000 clock):	160000 evaluated; 0 wrong controls; 84344 violate mass constrain.
Tue Jul  2 13:30:00 2013, (2419390000 clock):	161000 evaluated; 0 wrong controls; 85178 violate mass constrain.
Tue Jul  2 13:30:16 2013, (2434990000 clock):	162000 evaluated; 0 wrong controls; 85912 violate mass constrain.
Tue Jul  2 13:30:35 2013, (2454230000 clock):	163000 evaluated; 0 wrong controls; 86159 violate mass constrain.
Tue Jul  2 13:30:55 2013, (2473190000 clock):	164000 evaluated; 0 wrong controls; 86363 violate mass constrain.
Tue Jul  2 13:31:14 2013, (2491940000 clock):	165000 evaluated; 0 wrong controls; 86598 violate mass constrain.
Tue Jul  2 13:31:32 2013, (2510030000 clock):	166000 evaluated; 0 wrong controls; 86857 violate mass constrain.
Tue Jul  2 13:31:48 2013, (2524770000 clock):	167000 evaluated; 0 wrong controls; 87395 violate mass constrain.
Tue Jul  2 13:31:57 2013, (2534250000 clock):	168000 evaluated; 0 wrong controls; 88294 violate mass constrain.
Tue Jul  2 13:32:08 2013, (2544340000 clock):	169000 evaluated; 0 wrong controls; 89156 violate mass constrain.
Tue Jul  2 13:32:21 2013, (2556930000 clock):	170000 evaluated; 0 wrong controls; 89872 violate mass constrain.
Tue Jul  2 13:32:36 2013, (2572260000 clock):	171000 evaluated; 0 wrong controls; 90308 violate mass constrain.
Tue Jul  2 13:32:55 2013, (2590710000 clock):	172000 evaluated; 0 wrong controls; 90538 violate mass constrain.
Tue Jul  2 13:33:16 2013, (2611100000 clock):	173000 evaluated; 0 wrong controls; 90697 violate mass constrain.
Tue Jul  2 13:33:36 2013, (2630810000 clock):	174000 evaluated; 0 wrong controls; 90846 violate mass constrain.
Tue Jul  2 13:33:57 2013, (2651520000 clock):	175000 evaluated; 0 wrong controls; 91026 violate mass constrain.
Tue Jul  2 13:34:18 2013, (2671580000 clock):	176000 evaluated; 0 wrong controls; 91195 violate mass constrain.
Tue Jul  2 13:34:36 2013, (2689130000 clock):	177000 evaluated; 0 wrong controls; 91621 violate mass constrain.
Tue Jul  2 13:34:46 2013, (2699130000 clock):	178000 evaluated; 0 wrong controls; 92497 violate mass constrain.
Tue Jul  2 13:34:56 2013, (2708960000 clock):	179000 evaluated; 0 wrong controls; 93406 violate mass constrain.
Tue Jul  2 13:35:08 2013, (2720220000 clock):	180000 evaluated; 0 wrong controls; 94268 violate mass constrain.
Tue Jul  2 13:35:21 2013, (2733280000 clock):	181000 evaluated; 0 wrong controls; 94969 violate mass constrain.
Tue Jul  2 13:35:41 2013, (2753090000 clock):	182000 evaluated; 0 wrong controls; 95132 violate mass constrain.
Tue Jul  2 13:36:01 2013, (2772240000 clock):	183000 evaluated; 0 wrong controls; 95268 violate mass constrain.
Tue Jul  2 13:36:21 2013, (2792130000 clock):	184000 evaluated; 0 wrong controls; 95403 violate mass constrain.
Tue Jul  2 13:36:41 2013, (2811460000 clock):	185000 evaluated; 0 wrong controls; 95574 violate mass constrain.
Tue Jul  2 13:37:01 2013, (2831460000 clock):	186000 evaluated; 0 wrong controls; 95724 violate mass constrain.
Tue Jul  2 13:37:18 2013, (2847760000 clock):	187000 evaluated; 0 wrong controls; 96070 violate mass constrain.
Tue Jul  2 13:37:28 2013, (2857300000 clock):	188000 evaluated; 0 wrong controls; 96992 violate mass constrain.
Tue Jul  2 13:37:39 2013, (2867880000 clock):	189000 evaluated; 0 wrong controls; 97892 violate mass constrain.
Tue Jul  2 13:37:50 2013, (2878690000 clock):	190000 evaluated; 0 wrong controls; 98783 violate mass constrain.
Tue Jul  2 13:38:00 2013, (2888410000 clock):	191000 evaluated; 0 wrong controls; 99665 violate mass constrain.
Tue Jul  2 13:38:13 2013, (2900970000 clock):	192000 evaluated; 0 wrong controls; 100341 violate mass constrain.
Tue Jul  2 13:38:32 2013, (2918960000 clock):	193000 evaluated; 0 wrong controls; 100591 violate mass constrain.
Tue Jul  2 13:38:52 2013, (2939140000 clock):	194000 evaluated; 0 wrong controls; 100765 violate mass constrain.
Tue Jul  2 13:39:12 2013, (2958210000 clock):	195000 evaluated; 0 wrong controls; 100940 violate mass constrain.
Tue Jul  2 13:39:31 2013, (2977570000 clock):	196000 evaluated; 0 wrong controls; 101110 violate mass constrain.
Tue Jul  2 13:39:50 2013, (2995660000 clock):	197000 evaluated; 0 wrong controls; 101387 violate mass constrain.
Tue Jul  2 13:40:01 2013, (3006020000 clock):	198000 evaluated; 0 wrong controls; 102290 violate mass constrain.
Tue Jul  2 13:40:11 2013, (3016100000 clock):	199000 evaluated; 0 wrong controls; 103181 violate mass constrain.
Tue Jul  2 13:40:21 2013, (3026020000 clock):	200000 evaluated; 0 wrong controls; 104048 violate mass constrain.
Tue Jul  2 13:40:37 2013, (3041220000 clock):	201000 evaluated; 0 wrong controls; 104471 violate mass constrain.
Tue Jul  2 13:40:57 2013, (3061310000 clock):	202000 evaluated; 0 wrong controls; 104629 violate mass constrain.
Tue Jul  2 13:41:19 2013, (3082240000 clock):	203000 evaluated; 0 wrong controls; 104795 violate mass constrain.
Tue Jul  2 13:41:39 2013, (3101720000 clock):	204000 evaluated; 0 wrong controls; 104969 violate mass constrain.
Tue Jul  2 13:41:59 2013, (3121440000 clock):	205000 evaluated; 0 wrong controls; 105138 violate mass constrain.
Tue Jul  2 13:42:18 2013, (3140710000 clock):	206000 evaluated; 0 wrong controls; 105292 violate mass constrain.
Tue Jul  2 13:42:39 2013, (3161230000 clock):	207000 evaluated; 0 wrong controls; 105485 violate mass constrain.
Tue Jul  2 13:42:51 2013, (3172490000 clock):	208000 evaluated; 0 wrong controls; 106388 violate mass constrain.
Tue Jul  2 13:43:01 2013, (3182450000 clock):	209000 evaluated; 0 wrong controls; 107279 violate mass constrain.
