Thu Jul  4 11:44:15 2013, (0 clock):	Start log file
Thu Jul  4 11:44:15 2013, (0 clock):	Parameters loaded.
Thu Jul  4 11:44:15 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 200
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Thu Jul  4 11:44:15 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Thu Jul  4 12:31:13 2013, (2763980000 clock):	127000 evaluated; 0 wrong controls; 56119 violate mass constrain.
Thu Jul  4 12:31:22 2013, (2773520000 clock):	128000 evaluated; 0 wrong controls; 57095 violate mass constrain.
Thu Jul  4 12:31:45 2013, (2795710000 clock):	129000 evaluated; 0 wrong controls; 57527 violate mass constrain.
Thu Jul  4 12:32:09 2013, (2819330000 clock):	130000 evaluated; 0 wrong controls; 57864 violate mass constrain.
Thu Jul  4 12:32:32 2013, (2842160000 clock):	131000 evaluated; 0 wrong controls; 58237 violate mass constrain.
Thu Jul  4 12:32:56 2013, (2865830000 clock):	132000 evaluated; 0 wrong controls; 58581 violate mass constrain.
Thu Jul  4 12:33:21 2013, (2889590000 clock):	133000 evaluated; 0 wrong controls; 58941 violate mass constrain.
Thu Jul  4 12:33:45 2013, (2913290000 clock):	134000 evaluated; 0 wrong controls; 59296 violate mass constrain.
Thu Jul  4 12:34:08 2013, (2936530000 clock):	135000 evaluated; 0 wrong controls; 59670 violate mass constrain.
Thu Jul  4 12:34:32 2013, (2960300000 clock):	136000 evaluated; 0 wrong controls; 60048 violate mass constrain.
Thu Jul  4 12:34:46 2013, (2973510000 clock):	137000 evaluated; 0 wrong controls; 60856 violate mass constrain.
Thu Jul  4 12:34:55 2013, (2982390000 clock):	138000 evaluated; 0 wrong controls; 61851 violate mass constrain.
Thu Jul  4 12:35:16 2013, (3002450000 clock):	139000 evaluated; 0 wrong controls; 62355 violate mass constrain.
Thu Jul  4 12:35:41 2013, (3027160000 clock):	140000 evaluated; 0 wrong controls; 62714 violate mass constrain.
Thu Jul  4 12:36:04 2013, (3049890000 clock):	141000 evaluated; 0 wrong controls; 63124 violate mass constrain.
Thu Jul  4 12:36:26 2013, (3071280000 clock):	142000 evaluated; 0 wrong controls; 63565 violate mass constrain.
Thu Jul  4 12:36:46 2013, (3091420000 clock):	143000 evaluated; 0 wrong controls; 64052 violate mass constrain.
Thu Jul  4 12:37:08 2013, (3112330000 clock):	144000 evaluated; 0 wrong controls; 64519 violate mass constrain.
Thu Jul  4 12:37:28 2013, (3132320000 clock):	145000 evaluated; 0 wrong controls; 64988 violate mass constrain.
Thu Jul  4 12:37:49 2013, (3153100000 clock):	146000 evaluated; 0 wrong controls; 65462 violate mass constrain.
Thu Jul  4 12:38:03 2013, (3166670000 clock):	147000 evaluated; 0 wrong controls; 66255 violate mass constrain.
Thu Jul  4 12:38:12 2013, (3175750000 clock):	148000 evaluated; 0 wrong controls; 67245 violate mass constrain.
Thu Jul  4 12:38:33 2013, (3196250000 clock):	149000 evaluated; 0 wrong controls; 67717 violate mass constrain.
Thu Jul  4 12:38:56 2013, (3218550000 clock):	150000 evaluated; 0 wrong controls; 68118 violate mass constrain.
Thu Jul  4 12:39:20 2013, (3241930000 clock):	151000 evaluated; 0 wrong controls; 68517 violate mass constrain.
Thu Jul  4 12:39:42 2013, (3263710000 clock):	152000 evaluated; 0 wrong controls; 68941 violate mass constrain.
Thu Jul  4 12:40:04 2013, (3285350000 clock):	153000 evaluated; 0 wrong controls; 69390 violate mass constrain.
Thu Jul  4 12:40:27 2013, (3307740000 clock):	154000 evaluated; 0 wrong controls; 69819 violate mass constrain.
Thu Jul  4 12:40:48 2013, (3328540000 clock):	155000 evaluated; 0 wrong controls; 70298 violate mass constrain.
Thu Jul  4 12:41:09 2013, (3349400000 clock):	156000 evaluated; 0 wrong controls; 70770 violate mass constrain.
Thu Jul  4 12:41:24 2013, (3363920000 clock):	157000 evaluated; 0 wrong controls; 71536 violate mass constrain.
Thu Jul  4 12:41:34 2013, (3373050000 clock):	158000 evaluated; 0 wrong controls; 72536 violate mass constrain.
Thu Jul  4 12:41:50 2013, (3388960000 clock):	159000 evaluated; 0 wrong controls; 73216 violate mass constrain.
Thu Jul  4 12:42:15 2013, (3413340000 clock):	160000 evaluated; 0 wrong controls; 73542 violate mass constrain.
Thu Jul  4 12:42:39 2013, (3436980000 clock):	161000 evaluated; 0 wrong controls; 73926 violate mass constrain.
Thu Jul  4 12:43:01 2013, (3458540000 clock):	162000 evaluated; 0 wrong controls; 74368 violate mass constrain.
Thu Jul  4 12:43:24 2013, (3481150000 clock):	163000 evaluated; 0 wrong controls; 74760 violate mass constrain.
Thu Jul  4 12:43:48 2013, (3504860000 clock):	164000 evaluated; 0 wrong controls; 75159 violate mass constrain.
Thu Jul  4 12:44:09 2013, (3525440000 clock):	165000 evaluated; 0 wrong controls; 75628 violate mass constrain.
Thu Jul  4 12:44:30 2013, (3546210000 clock):	166000 evaluated; 0 wrong controls; 76070 violate mass constrain.
Thu Jul  4 12:44:46 2013, (3562120000 clock):	167000 evaluated; 0 wrong controls; 76743 violate mass constrain.
Thu Jul  4 12:44:55 2013, (3571010000 clock):	168000 evaluated; 0 wrong controls; 77743 violate mass constrain.
Thu Jul  4 12:45:14 2013, (3589250000 clock):	169000 evaluated; 0 wrong controls; 78330 violate mass constrain.
Thu Jul  4 12:45:39 2013, (3614030000 clock):	170000 evaluated; 0 wrong controls; 78625 violate mass constrain.
Thu Jul  4 12:46:04 2013, (3637940000 clock):	171000 evaluated; 0 wrong controls; 78958 violate mass constrain.
Thu Jul  4 12:46:29 2013, (3663340000 clock):	172000 evaluated; 0 wrong controls; 79268 violate mass constrain.
Thu Jul  4 12:46:53 2013, (3686750000 clock):	173000 evaluated; 0 wrong controls; 79621 violate mass constrain.
