Wed Jun  5 13:58:13 2013, (0 clock):	Start log file
Wed Jun  5 13:58:13 2013, (0 clock):	Parameters loaded.
Wed Jun  5 13:58:13 2013, (0 clock):	controls:
  bounds:
    - 400
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Wed Jun  5 14:06:39 2013, (474420000 clock):	126000 evaluated; 0 wrong controls; 126000 violate mass constrain.
Wed Jun  5 14:06:43 2013, (478150000 clock):	127000 evaluated; 0 wrong controls; 127000 violate mass constrain.
Wed Jun  5 14:06:47 2013, (481880000 clock):	128000 evaluated; 0 wrong controls; 128000 violate mass constrain.
Wed Jun  5 14:06:51 2013, (485580000 clock):	129000 evaluated; 0 wrong controls; 129000 violate mass constrain.
Wed Jun  5 14:06:55 2013, (489250000 clock):	130000 evaluated; 0 wrong controls; 130000 violate mass constrain.
Wed Jun  5 14:06:59 2013, (492930000 clock):	131000 evaluated; 0 wrong controls; 131000 violate mass constrain.
Wed Jun  5 14:07:03 2013, (496640000 clock):	132000 evaluated; 0 wrong controls; 132000 violate mass constrain.
Wed Jun  5 14:07:07 2013, (500380000 clock):	133000 evaluated; 0 wrong controls; 133000 violate mass constrain.
Wed Jun  5 14:07:11 2013, (504210000 clock):	134000 evaluated; 0 wrong controls; 134000 violate mass constrain.
Wed Jun  5 14:07:15 2013, (507850000 clock):	135000 evaluated; 0 wrong controls; 135000 violate mass constrain.
Wed Jun  5 14:07:19 2013, (511780000 clock):	136000 evaluated; 0 wrong controls; 136000 violate mass constrain.
Wed Jun  5 14:07:23 2013, (515510000 clock):	137000 evaluated; 0 wrong controls; 137000 violate mass constrain.
Wed Jun  5 14:07:27 2013, (519430000 clock):	138000 evaluated; 0 wrong controls; 138000 violate mass constrain.
Wed Jun  5 14:07:31 2013, (523240000 clock):	139000 evaluated; 0 wrong controls; 139000 violate mass constrain.
Wed Jun  5 14:07:35 2013, (526960000 clock):	140000 evaluated; 0 wrong controls; 140000 violate mass constrain.
Wed Jun  5 14:07:39 2013, (530640000 clock):	141000 evaluated; 0 wrong controls; 141000 violate mass constrain.
Wed Jun  5 14:07:43 2013, (534380000 clock):	142000 evaluated; 0 wrong controls; 142000 violate mass constrain.
Wed Jun  5 14:07:47 2013, (538510000 clock):	143000 evaluated; 0 wrong controls; 143000 violate mass constrain.
Wed Jun  5 14:07:51 2013, (542180000 clock):	144000 evaluated; 0 wrong controls; 144000 violate mass constrain.
Wed Jun  5 14:07:55 2013, (545840000 clock):	145000 evaluated; 0 wrong controls; 145000 violate mass constrain.
Wed Jun  5 14:07:59 2013, (549540000 clock):	146000 evaluated; 0 wrong controls; 146000 violate mass constrain.
Wed Jun  5 14:08:03 2013, (553320000 clock):	147000 evaluated; 0 wrong controls; 147000 violate mass constrain.
Wed Jun  5 14:08:07 2013, (557010000 clock):	148000 evaluated; 0 wrong controls; 148000 violate mass constrain.
Wed Jun  5 14:08:11 2013, (560800000 clock):	149000 evaluated; 0 wrong controls; 149000 violate mass constrain.
Wed Jun  5 14:08:15 2013, (564550000 clock):	150000 evaluated; 0 wrong controls; 150000 violate mass constrain.
Wed Jun  5 14:08:19 2013, (568350000 clock):	151000 evaluated; 0 wrong controls; 151000 violate mass constrain.
Wed Jun  5 14:08:23 2013, (572080000 clock):	152000 evaluated; 0 wrong controls; 152000 violate mass constrain.
Wed Jun  5 14:08:27 2013, (575840000 clock):	153000 evaluated; 0 wrong controls; 153000 violate mass constrain.
Wed Jun  5 14:08:32 2013, (579830000 clock):	154000 evaluated; 0 wrong controls; 154000 violate mass constrain.
Wed Jun  5 14:08:36 2013, (583530000 clock):	155000 evaluated; 0 wrong controls; 155000 violate mass constrain.
Wed Jun  5 14:08:40 2013, (587260000 clock):	156000 evaluated; 0 wrong controls; 156000 violate mass constrain.
Wed Jun  5 14:08:44 2013, (590930000 clock):	157000 evaluated; 0 wrong controls; 157000 violate mass constrain.
Wed Jun  5 14:08:47 2013, (594640000 clock):	158000 evaluated; 0 wrong controls; 158000 violate mass constrain.
Wed Jun  5 14:08:51 2013, (598350000 clock):	159000 evaluated; 0 wrong controls; 159000 violate mass constrain.
Wed Jun  5 14:08:55 2013, (602110000 clock):	160000 evaluated; 0 wrong controls; 160000 violate mass constrain.
Wed Jun  5 14:08:59 2013, (605820000 clock):	161000 evaluated; 0 wrong controls; 161000 violate mass constrain.
Wed Jun  5 14:09:03 2013, (609610000 clock):	162000 evaluated; 0 wrong controls; 162000 violate mass constrain.
Wed Jun  5 14:09:07 2013, (613320000 clock):	163000 evaluated; 0 wrong controls; 163000 violate mass constrain.
Wed Jun  5 14:09:12 2013, (617160000 clock):	164000 evaluated; 0 wrong controls; 164000 violate mass constrain.
Wed Jun  5 14:09:16 2013, (620880000 clock):	165000 evaluated; 0 wrong controls; 165000 violate mass constrain.
Wed Jun  5 14:09:20 2013, (624590000 clock):	166000 evaluated; 0 wrong controls; 166000 violate mass constrain.
Wed Jun  5 14:09:24 2013, (628370000 clock):	167000 evaluated; 0 wrong controls; 167000 violate mass constrain.
Wed Jun  5 14:09:27 2013, (632060000 clock):	168000 evaluated; 0 wrong controls; 168000 violate mass constrain.
Wed Jun  5 14:09:31 2013, (635860000 clock):	169000 evaluated; 0 wrong controls; 169000 violate mass constrain.
Wed Jun  5 14:09:36 2013, (639730000 clock):	170000 evaluated; 0 wrong controls; 170000 violate mass constrain.
Wed Jun  5 14:09:39 2013, (643410000 clock):	171000 evaluated; 0 wrong controls; 171000 violate mass constrain.
Wed Jun  5 14:09:43 2013, (647120000 clock):	172000 evaluated; 0 wrong controls; 172000 violate mass constrain.
Wed Jun  5 14:09:47 2013, (650890000 clock):	173000 evaluated; 0 wrong controls; 173000 violate mass constrain.
