Wed Jun 12 19:19:54 2013, (0 clock):	Start log file
Wed Jun 12 19:19:54 2013, (0 clock):	Parameters loaded.
Wed Jun 12 19:19:54 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Wed Jun 12 19:32:30 2013, (729320000 clock):	182000 evaluated; 0 wrong controls; 182000 violate mass constrain.
Wed Jun 12 19:32:34 2013, (733430000 clock):	183000 evaluated; 0 wrong controls; 183000 violate mass constrain.
Wed Jun 12 19:32:38 2013, (737370000 clock):	184000 evaluated; 0 wrong controls; 184000 violate mass constrain.
Wed Jun 12 19:32:42 2013, (741310000 clock):	185000 evaluated; 0 wrong controls; 185000 violate mass constrain.
Wed Jun 12 19:32:46 2013, (745290000 clock):	186000 evaluated; 0 wrong controls; 186000 violate mass constrain.
Wed Jun 12 19:32:51 2013, (749260000 clock):	187000 evaluated; 0 wrong controls; 187000 violate mass constrain.
Wed Jun 12 19:32:55 2013, (753240000 clock):	188000 evaluated; 0 wrong controls; 188000 violate mass constrain.
Wed Jun 12 19:32:59 2013, (757280000 clock):	189000 evaluated; 0 wrong controls; 189000 violate mass constrain.
Wed Jun 12 19:33:03 2013, (761360000 clock):	190000 evaluated; 0 wrong controls; 190000 violate mass constrain.
Wed Jun 12 19:33:07 2013, (765360000 clock):	191000 evaluated; 0 wrong controls; 191000 violate mass constrain.
Wed Jun 12 19:33:11 2013, (769400000 clock):	192000 evaluated; 0 wrong controls; 192000 violate mass constrain.
Wed Jun 12 19:33:16 2013, (773440000 clock):	193000 evaluated; 0 wrong controls; 193000 violate mass constrain.
Wed Jun 12 19:33:20 2013, (777530000 clock):	194000 evaluated; 0 wrong controls; 194000 violate mass constrain.
Wed Jun 12 19:33:24 2013, (781540000 clock):	195000 evaluated; 0 wrong controls; 195000 violate mass constrain.
Wed Jun 12 19:33:28 2013, (785450000 clock):	196000 evaluated; 0 wrong controls; 196000 violate mass constrain.
Wed Jun 12 19:33:32 2013, (789560000 clock):	197000 evaluated; 0 wrong controls; 197000 violate mass constrain.
Wed Jun 12 19:33:37 2013, (793700000 clock):	198000 evaluated; 0 wrong controls; 198000 violate mass constrain.
Wed Jun 12 19:33:41 2013, (797700000 clock):	199000 evaluated; 0 wrong controls; 199000 violate mass constrain.
Wed Jun 12 19:33:45 2013, (801560000 clock):	200000 evaluated; 0 wrong controls; 200000 violate mass constrain.
Wed Jun 12 19:33:49 2013, (805820000 clock):	201000 evaluated; 0 wrong controls; 201000 violate mass constrain.
Wed Jun 12 19:33:53 2013, (809940000 clock):	202000 evaluated; 0 wrong controls; 202000 violate mass constrain.
Wed Jun 12 19:33:58 2013, (814070000 clock):	203000 evaluated; 0 wrong controls; 203000 violate mass constrain.
Wed Jun 12 19:34:02 2013, (818380000 clock):	204000 evaluated; 0 wrong controls; 204000 violate mass constrain.
Wed Jun 12 19:34:06 2013, (822550000 clock):	205000 evaluated; 0 wrong controls; 205000 violate mass constrain.
Wed Jun 12 19:34:11 2013, (826750000 clock):	206000 evaluated; 0 wrong controls; 206000 violate mass constrain.
Wed Jun 12 19:34:15 2013, (831040000 clock):	207000 evaluated; 0 wrong controls; 207000 violate mass constrain.
Wed Jun 12 19:34:19 2013, (834980000 clock):	208000 evaluated; 0 wrong controls; 208000 violate mass constrain.
Wed Jun 12 19:34:23 2013, (838900000 clock):	209000 evaluated; 0 wrong controls; 209000 violate mass constrain.
Wed Jun 12 19:34:28 2013, (842970000 clock):	210000 evaluated; 0 wrong controls; 210000 violate mass constrain.
Wed Jun 12 19:34:32 2013, (847340000 clock):	211000 evaluated; 0 wrong controls; 211000 violate mass constrain.
Wed Jun 12 19:34:36 2013, (851380000 clock):	212000 evaluated; 0 wrong controls; 212000 violate mass constrain.
Wed Jun 12 19:34:40 2013, (855380000 clock):	213000 evaluated; 0 wrong controls; 213000 violate mass constrain.
Wed Jun 12 19:34:45 2013, (859430000 clock):	214000 evaluated; 0 wrong controls; 214000 violate mass constrain.
