Thu Jun  6 19:33:34 2013, (0 clock):	Start log file
Thu Jun  6 19:33:34 2013, (0 clock):	Parameters loaded.
Thu Jun  6 19:33:34 2013, (0 clock):	controls:
  bounds:
    - 450
    - -450
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Thu Jun  6 20:28:42 2013, (3201390000 clock):	161000 evaluated; 0 wrong controls; 61736 violate mass constrain.
Thu Jun  6 20:29:04 2013, (3222000000 clock):	162000 evaluated; 0 wrong controls; 62061 violate mass constrain.
Thu Jun  6 20:29:25 2013, (3242630000 clock):	163000 evaluated; 0 wrong controls; 62382 violate mass constrain.
Thu Jun  6 20:29:46 2013, (3263020000 clock):	164000 evaluated; 0 wrong controls; 62700 violate mass constrain.
Thu Jun  6 20:30:09 2013, (3285120000 clock):	165000 evaluated; 0 wrong controls; 63000 violate mass constrain.
Thu Jun  6 20:30:30 2013, (3306280000 clock):	166000 evaluated; 0 wrong controls; 63292 violate mass constrain.
Thu Jun  6 20:30:53 2013, (3328280000 clock):	167000 evaluated; 0 wrong controls; 63600 violate mass constrain.
Thu Jun  6 20:31:15 2013, (3349560000 clock):	168000 evaluated; 0 wrong controls; 63931 violate mass constrain.
Thu Jun  6 20:31:36 2013, (3370560000 clock):	169000 evaluated; 0 wrong controls; 64251 violate mass constrain.
Thu Jun  6 20:32:03 2013, (3391900000 clock):	170000 evaluated; 0 wrong controls; 64582 violate mass constrain.
Thu Jun  6 20:32:25 2013, (3412930000 clock):	171000 evaluated; 0 wrong controls; 64892 violate mass constrain.
Thu Jun  6 20:32:46 2013, (3433440000 clock):	172000 evaluated; 0 wrong controls; 65225 violate mass constrain.
Thu Jun  6 20:33:07 2013, (3454700000 clock):	173000 evaluated; 0 wrong controls; 65532 violate mass constrain.
Thu Jun  6 20:33:30 2013, (3476160000 clock):	174000 evaluated; 0 wrong controls; 65848 violate mass constrain.
Thu Jun  6 20:33:51 2013, (3497160000 clock):	175000 evaluated; 0 wrong controls; 66168 violate mass constrain.
Thu Jun  6 20:34:13 2013, (3518360000 clock):	176000 evaluated; 0 wrong controls; 66485 violate mass constrain.
Thu Jun  6 20:34:36 2013, (3540120000 clock):	177000 evaluated; 0 wrong controls; 66797 violate mass constrain.
Thu Jun  6 20:34:59 2013, (3562100000 clock):	178000 evaluated; 0 wrong controls; 67092 violate mass constrain.
Thu Jun  6 20:35:21 2013, (3583330000 clock):	179000 evaluated; 0 wrong controls; 67411 violate mass constrain.
Thu Jun  6 20:35:43 2013, (3604720000 clock):	180000 evaluated; 0 wrong controls; 67742 violate mass constrain.
Thu Jun  6 20:36:04 2013, (3625690000 clock):	181000 evaluated; 0 wrong controls; 68094 violate mass constrain.
Thu Jun  6 20:36:26 2013, (3647230000 clock):	182000 evaluated; 0 wrong controls; 68433 violate mass constrain.
Thu Jun  6 20:36:49 2013, (3669020000 clock):	183000 evaluated; 0 wrong controls; 68748 violate mass constrain.
Thu Jun  6 20:37:11 2013, (3690490000 clock):	184000 evaluated; 0 wrong controls; 69080 violate mass constrain.
Thu Jun  6 20:37:34 2013, (3712970000 clock):	185000 evaluated; 0 wrong controls; 69379 violate mass constrain.
Thu Jun  6 20:37:55 2013, (3733800000 clock):	186000 evaluated; 0 wrong controls; 69696 violate mass constrain.
Thu Jun  6 20:38:16 2013, (3754630000 clock):	187000 evaluated; 0 wrong controls; 70012 violate mass constrain.
Thu Jun  6 20:38:40 2013, (3776600000 clock):	188000 evaluated; 0 wrong controls; 70316 violate mass constrain.
Thu Jun  6 20:39:02 2013, (3798240000 clock):	189000 evaluated; 0 wrong controls; 70631 violate mass constrain.
Thu Jun  6 20:39:23 2013, (3819030000 clock):	190000 evaluated; 0 wrong controls; 70958 violate mass constrain.
Thu Jun  6 20:39:45 2013, (3839870000 clock):	191000 evaluated; 0 wrong controls; 71268 violate mass constrain.
Thu Jun  6 20:40:07 2013, (3861560000 clock):	192000 evaluated; 0 wrong controls; 71593 violate mass constrain.
Thu Jun  6 20:40:29 2013, (3883090000 clock):	193000 evaluated; 0 wrong controls; 71899 violate mass constrain.
Thu Jun  6 20:40:53 2013, (3905500000 clock):	194000 evaluated; 0 wrong controls; 72231 violate mass constrain.
Thu Jun  6 20:41:15 2013, (3927180000 clock):	195000 evaluated; 0 wrong controls; 72534 violate mass constrain.
Thu Jun  6 20:41:37 2013, (3948590000 clock):	196000 evaluated; 0 wrong controls; 72825 violate mass constrain.
Thu Jun  6 20:41:57 2013, (3968610000 clock):	197000 evaluated; 0 wrong controls; 73190 violate mass constrain.
Thu Jun  6 20:42:19 2013, (3989620000 clock):	198000 evaluated; 0 wrong controls; 73518 violate mass constrain.
Thu Jun  6 20:42:41 2013, (4010710000 clock):	199000 evaluated; 0 wrong controls; 73821 violate mass constrain.
Thu Jun  6 20:43:03 2013, (4031830000 clock):	200000 evaluated; 0 wrong controls; 74125 violate mass constrain.
Thu Jun  6 20:43:24 2013, (4052320000 clock):	201000 evaluated; 0 wrong controls; 74448 violate mass constrain.
Thu Jun  6 20:43:45 2013, (4073120000 clock):	202000 evaluated; 0 wrong controls; 74752 violate mass constrain.
Thu Jun  6 20:44:07 2013, (4094430000 clock):	203000 evaluated; 0 wrong controls; 75045 violate mass constrain.
Thu Jun  6 20:44:29 2013, (4115520000 clock):	204000 evaluated; 0 wrong controls; 75364 violate mass constrain.
Thu Jun  6 20:44:51 2013, (4137090000 clock):	205000 evaluated; 0 wrong controls; 75669 violate mass constrain.
Thu Jun  6 20:45:13 2013, (4158000000 clock):	206000 evaluated; 0 wrong controls; 75975 violate mass constrain.
Thu Jun  6 20:45:35 2013, (4178790000 clock):	207000 evaluated; 0 wrong controls; 76289 violate mass constrain.
Thu Jun  6 20:45:57 2013, (4200370000 clock):	208000 evaluated; 0 wrong controls; 76594 violate mass constrain.
Thu Jun  6 20:46:20 2013, (4222550000 clock):	209000 evaluated; 0 wrong controls; 76880 violate mass constrain.
Thu Jun  6 20:46:43 2013, (4244540000 clock):	210000 evaluated; 0 wrong controls; 77168 violate mass constrain.
Thu Jun  6 20:47:04 2013, (4265720000 clock):	211000 evaluated; 0 wrong controls; 77491 violate mass constrain.
