Wed Jul  3 17:51:00 2013, (0 clock):	Start log file
Wed Jul  3 17:51:00 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:51:00 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:51:00 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 18:18:34 2013, (1577140000 clock):	167000 evaluated; 0 wrong controls; 166183 violate mass constrain.
Wed Jul  3 18:18:43 2013, (1585700000 clock):	168000 evaluated; 0 wrong controls; 167181 violate mass constrain.
Wed Jul  3 18:18:53 2013, (1595430000 clock):	169000 evaluated; 0 wrong controls; 168174 violate mass constrain.
Wed Jul  3 18:19:03 2013, (1604910000 clock):	170000 evaluated; 0 wrong controls; 169163 violate mass constrain.
Wed Jul  3 18:19:13 2013, (1613850000 clock):	171000 evaluated; 0 wrong controls; 170161 violate mass constrain.
Wed Jul  3 18:19:23 2013, (1623830000 clock):	172000 evaluated; 0 wrong controls; 171155 violate mass constrain.
Wed Jul  3 18:19:33 2013, (1632830000 clock):	173000 evaluated; 0 wrong controls; 172152 violate mass constrain.
Wed Jul  3 18:19:43 2013, (1642390000 clock):	174000 evaluated; 0 wrong controls; 173146 violate mass constrain.
Wed Jul  3 18:19:52 2013, (1651370000 clock):	175000 evaluated; 0 wrong controls; 174143 violate mass constrain.
Wed Jul  3 18:20:03 2013, (1661060000 clock):	176000 evaluated; 0 wrong controls; 175136 violate mass constrain.
Wed Jul  3 18:20:14 2013, (1671360000 clock):	177000 evaluated; 0 wrong controls; 176131 violate mass constrain.
Wed Jul  3 18:20:23 2013, (1680600000 clock):	178000 evaluated; 0 wrong controls; 177129 violate mass constrain.
