Tue Jun 11 16:30:02 2013, (0 clock):	Start log file
Tue Jun 11 16:30:02 2013, (0 clock):	Parameters loaded.
Tue Jun 11 16:30:02 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Tue Jun 11 16:52:04 2013, (1204410000 clock):	114000 evaluated; 0 wrong controls; 79520 violate mass constrain.
Tue Jun 11 16:52:16 2013, (1214280000 clock):	115000 evaluated; 0 wrong controls; 80197 violate mass constrain.
Tue Jun 11 16:52:26 2013, (1224440000 clock):	116000 evaluated; 0 wrong controls; 80884 violate mass constrain.
Tue Jun 11 16:52:40 2013, (1235240000 clock):	117000 evaluated; 0 wrong controls; 81546 violate mass constrain.
Tue Jun 11 16:52:51 2013, (1246310000 clock):	118000 evaluated; 0 wrong controls; 82217 violate mass constrain.
Tue Jun 11 16:53:05 2013, (1256870000 clock):	119000 evaluated; 0 wrong controls; 82904 violate mass constrain.
Tue Jun 11 16:53:15 2013, (1266880000 clock):	120000 evaluated; 0 wrong controls; 83582 violate mass constrain.
Tue Jun 11 16:53:27 2013, (1275920000 clock):	121000 evaluated; 0 wrong controls; 84295 violate mass constrain.
Tue Jun 11 16:53:36 2013, (1285700000 clock):	122000 evaluated; 0 wrong controls; 85007 violate mass constrain.
Tue Jun 11 16:53:50 2013, (1296270000 clock):	123000 evaluated; 0 wrong controls; 85703 violate mass constrain.
Tue Jun 11 16:54:00 2013, (1306100000 clock):	124000 evaluated; 0 wrong controls; 86394 violate mass constrain.
Tue Jun 11 16:54:11 2013, (1316880000 clock):	125000 evaluated; 0 wrong controls; 87051 violate mass constrain.
Tue Jun 11 16:54:25 2013, (1328460000 clock):	126000 evaluated; 0 wrong controls; 87730 violate mass constrain.
Tue Jun 11 16:54:35 2013, (1338070000 clock):	127000 evaluated; 0 wrong controls; 88415 violate mass constrain.
Tue Jun 11 16:54:48 2013, (1348240000 clock):	128000 evaluated; 0 wrong controls; 89106 violate mass constrain.
Tue Jun 11 16:54:59 2013, (1359820000 clock):	129000 evaluated; 0 wrong controls; 89769 violate mass constrain.
Tue Jun 11 16:55:13 2013, (1370930000 clock):	130000 evaluated; 0 wrong controls; 90426 violate mass constrain.
Tue Jun 11 16:55:23 2013, (1380200000 clock):	131000 evaluated; 0 wrong controls; 91124 violate mass constrain.
Tue Jun 11 16:55:36 2013, (1390510000 clock):	132000 evaluated; 0 wrong controls; 91800 violate mass constrain.
Tue Jun 11 16:55:48 2013, (1402940000 clock):	133000 evaluated; 0 wrong controls; 92449 violate mass constrain.
Tue Jun 11 16:56:03 2013, (1414600000 clock):	134000 evaluated; 0 wrong controls; 93122 violate mass constrain.
Tue Jun 11 16:56:14 2013, (1426140000 clock):	135000 evaluated; 0 wrong controls; 93779 violate mass constrain.
