Sat Jul  6 09:28:11 2013, (0 clock):	Start log file
Sat Jul  6 09:28:11 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:11 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:11 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 11:57:09 2013, (8881540000 clock):	112000 evaluated; 0 wrong controls; 6697 violate mass constrain.
Sat Jul  6 11:58:29 2013, (8961070000 clock):	113000 evaluated; 0 wrong controls; 6697 violate mass constrain.
Sat Jul  6 11:59:48 2013, (9039810000 clock):	114000 evaluated; 0 wrong controls; 6697 violate mass constrain.
Sat Jul  6 12:01:07 2013, (9117940000 clock):	115000 evaluated; 0 wrong controls; 6697 violate mass constrain.
Sat Jul  6 12:02:27 2013, (9197590000 clock):	116000 evaluated; 0 wrong controls; 6697 violate mass constrain.
Sat Jul  6 12:03:39 2013, (9268720000 clock):	117000 evaluated; 0 wrong controls; 7135 violate mass constrain.
Sat Jul  6 12:04:51 2013, (9340740000 clock):	118000 evaluated; 0 wrong controls; 7514 violate mass constrain.
Sat Jul  6 12:06:10 2013, (9418500000 clock):	119000 evaluated; 0 wrong controls; 7619 violate mass constrain.
Sat Jul  6 12:07:28 2013, (9496690000 clock):	120000 evaluated; 0 wrong controls; 7619 violate mass constrain.
Sat Jul  6 12:08:48 2013, (9576000000 clock):	121000 evaluated; 0 wrong controls; 7619 violate mass constrain.
Sat Jul  6 12:10:09 2013, (9656070000 clock):	122000 evaluated; 0 wrong controls; 7619 violate mass constrain.
Sat Jul  6 12:11:29 2013, (9735690000 clock):	123000 evaluated; 0 wrong controls; 7619 violate mass constrain.
Sat Jul  6 12:12:48 2013, (9814880000 clock):	124000 evaluated; 0 wrong controls; 7619 violate mass constrain.
Sat Jul  6 12:14:06 2013, (9892160000 clock):	125000 evaluated; 0 wrong controls; 7619 violate mass constrain.
Sat Jul  6 12:15:24 2013, (9969490000 clock):	126000 evaluated; 0 wrong controls; 7619 violate mass constrain.
Sat Jul  6 12:16:38 2013, (10043210000 clock):	127000 evaluated; 0 wrong controls; 7990 violate mass constrain.
Sat Jul  6 12:17:57 2013, (10121380000 clock):	128000 evaluated; 0 wrong controls; 8165 violate mass constrain.
Sat Jul  6 12:19:16 2013, (10200430000 clock):	129000 evaluated; 0 wrong controls; 8166 violate mass constrain.
Sat Jul  6 12:20:35 2013, (10278920000 clock):	130000 evaluated; 0 wrong controls; 8166 violate mass constrain.
Sat Jul  6 12:21:53 2013, (10356400000 clock):	131000 evaluated; 0 wrong controls; 8166 violate mass constrain.
Sat Jul  6 12:23:12 2013, (10434470000 clock):	132000 evaluated; 0 wrong controls; 8166 violate mass constrain.
Sat Jul  6 12:24:30 2013, (10512250000 clock):	133000 evaluated; 0 wrong controls; 8166 violate mass constrain.
Sat Jul  6 12:25:49 2013, (10591440000 clock):	134000 evaluated; 0 wrong controls; 8166 violate mass constrain.
Sat Jul  6 12:27:08 2013, (10669560000 clock):	135000 evaluated; 0 wrong controls; 8166 violate mass constrain.
Sat Jul  6 12:28:26 2013, (10747210000 clock):	136000 evaluated; 0 wrong controls; 8166 violate mass constrain.
Sat Jul  6 12:29:40 2013, (10820470000 clock):	137000 evaluated; 0 wrong controls; 8508 violate mass constrain.
Sat Jul  6 12:30:55 2013, (10894820000 clock):	138000 evaluated; 0 wrong controls; 8786 violate mass constrain.
Sat Jul  6 12:32:14 2013, (10973530000 clock):	139000 evaluated; 0 wrong controls; 8819 violate mass constrain.
Sat Jul  6 12:33:33 2013, (11052690000 clock):	140000 evaluated; 0 wrong controls; 8819 violate mass constrain.
Sat Jul  6 12:34:53 2013, (11132250000 clock):	141000 evaluated; 0 wrong controls; 8819 violate mass constrain.
Sat Jul  6 12:36:13 2013, (11210960000 clock):	142000 evaluated; 0 wrong controls; 8819 violate mass constrain.
