Tue Jul  9 13:59:21 2013, (0 clock):	Start log file
Tue Jul  9 13:59:21 2013, (0 clock):	Parameters loaded.
Tue Jul  9 13:59:21 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 400
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 5
    - 15
    - 4
  type: IDW
Tue Jul  9 15:01:07 2013, (3673780000 clock):	146000 evaluated; 0 wrong controls; 129749 violate mass constrain.
Tue Jul  9 15:01:31 2013, (3697480000 clock):	147000 evaluated; 0 wrong controls; 130680 violate mass constrain.
Tue Jul  9 15:01:54 2013, (3719840000 clock):	148000 evaluated; 0 wrong controls; 131678 violate mass constrain.
Tue Jul  9 15:02:18 2013, (3743480000 clock):	149000 evaluated; 0 wrong controls; 132627 violate mass constrain.
Tue Jul  9 15:02:41 2013, (3766970000 clock):	150000 evaluated; 0 wrong controls; 133590 violate mass constrain.
Tue Jul  9 15:03:05 2013, (3790720000 clock):	151000 evaluated; 0 wrong controls; 134524 violate mass constrain.
Tue Jul  9 15:03:30 2013, (3814900000 clock):	152000 evaluated; 0 wrong controls; 135455 violate mass constrain.
Tue Jul  9 15:03:55 2013, (3839660000 clock):	153000 evaluated; 0 wrong controls; 136351 violate mass constrain.
Tue Jul  9 15:04:21 2013, (3865330000 clock):	154000 evaluated; 0 wrong controls; 137211 violate mass constrain.
Tue Jul  9 15:04:47 2013, (3891160000 clock):	155000 evaluated; 0 wrong controls; 138067 violate mass constrain.
Tue Jul  9 15:05:13 2013, (3916970000 clock):	156000 evaluated; 0 wrong controls; 138905 violate mass constrain.
Tue Jul  9 15:05:37 2013, (3940930000 clock):	157000 evaluated; 0 wrong controls; 139850 violate mass constrain.
Tue Jul  9 15:06:01 2013, (3965020000 clock):	158000 evaluated; 0 wrong controls; 140785 violate mass constrain.
Tue Jul  9 15:06:28 2013, (3991840000 clock):	159000 evaluated; 0 wrong controls; 141595 violate mass constrain.
Tue Jul  9 15:06:56 2013, (4019190000 clock):	160000 evaluated; 0 wrong controls; 142363 violate mass constrain.
Tue Jul  9 15:07:23 2013, (4046180000 clock):	161000 evaluated; 0 wrong controls; 143137 violate mass constrain.
Tue Jul  9 15:07:51 2013, (4073650000 clock):	162000 evaluated; 0 wrong controls; 143922 violate mass constrain.
Tue Jul  9 15:08:17 2013, (4100230000 clock):	163000 evaluated; 0 wrong controls; 144722 violate mass constrain.
Tue Jul  9 15:08:45 2013, (4127270000 clock):	164000 evaluated; 0 wrong controls; 145523 violate mass constrain.
Tue Jul  9 15:09:12 2013, (4154820000 clock):	165000 evaluated; 0 wrong controls; 146328 violate mass constrain.
Tue Jul  9 15:09:39 2013, (4181050000 clock):	166000 evaluated; 0 wrong controls; 147155 violate mass constrain.
Tue Jul  9 15:10:04 2013, (4205890000 clock):	167000 evaluated; 0 wrong controls; 148051 violate mass constrain.
Tue Jul  9 15:10:28 2013, (4229320000 clock):	168000 evaluated; 0 wrong controls; 149005 violate mass constrain.
Tue Jul  9 15:10:54 2013, (4255260000 clock):	169000 evaluated; 0 wrong controls; 149852 violate mass constrain.
Tue Jul  9 15:11:22 2013, (4282990000 clock):	170000 evaluated; 0 wrong controls; 150636 violate mass constrain.
Tue Jul  9 15:11:49 2013, (4310020000 clock):	171000 evaluated; 0 wrong controls; 151437 violate mass constrain.
Tue Jul  9 15:12:17 2013, (4337660000 clock):	172000 evaluated; 0 wrong controls; 152215 violate mass constrain.
Tue Jul  9 15:12:43 2013, (4364160000 clock):	173000 evaluated; 0 wrong controls; 153021 violate mass constrain.
Tue Jul  9 15:13:11 2013, (4391300000 clock):	174000 evaluated; 0 wrong controls; 153816 violate mass constrain.
Tue Jul  9 15:13:37 2013, (4417600000 clock):	175000 evaluated; 0 wrong controls; 154639 violate mass constrain.
Tue Jul  9 15:14:03 2013, (4443230000 clock):	176000 evaluated; 0 wrong controls; 155491 violate mass constrain.
Tue Jul  9 15:14:28 2013, (4468220000 clock):	177000 evaluated; 0 wrong controls; 156384 violate mass constrain.
Tue Jul  9 15:14:51 2013, (4490800000 clock):	178000 evaluated; 0 wrong controls; 157384 violate mass constrain.
Tue Jul  9 15:15:15 2013, (4514120000 clock):	179000 evaluated; 0 wrong controls; 158346 violate mass constrain.
Tue Jul  9 15:15:38 2013, (4537640000 clock):	180000 evaluated; 0 wrong controls; 159302 violate mass constrain.
Tue Jul  9 15:16:03 2013, (4561820000 clock):	181000 evaluated; 0 wrong controls; 160230 violate mass constrain.
Tue Jul  9 15:16:28 2013, (4586840000 clock):	182000 evaluated; 0 wrong controls; 161133 violate mass constrain.
Tue Jul  9 15:16:53 2013, (4611830000 clock):	183000 evaluated; 0 wrong controls; 162006 violate mass constrain.
Tue Jul  9 15:17:20 2013, (4638770000 clock):	184000 evaluated; 0 wrong controls; 162798 violate mass constrain.
Tue Jul  9 15:17:48 2013, (4666220000 clock):	185000 evaluated; 0 wrong controls; 163569 violate mass constrain.
Tue Jul  9 15:18:16 2013, (4693620000 clock):	186000 evaluated; 0 wrong controls; 164354 violate mass constrain.
Tue Jul  9 15:18:42 2013, (4719520000 clock):	187000 evaluated; 0 wrong controls; 165194 violate mass constrain.
Tue Jul  9 15:19:04 2013, (4741800000 clock):	188000 evaluated; 0 wrong controls; 166194 violate mass constrain.
Tue Jul  9 15:19:28 2013, (4765180000 clock):	189000 evaluated; 0 wrong controls; 167150 violate mass constrain.
Tue Jul  9 15:19:51 2013, (4788720000 clock):	190000 evaluated; 0 wrong controls; 168106 violate mass constrain.
Tue Jul  9 15:20:16 2013, (4812700000 clock):	191000 evaluated; 0 wrong controls; 169048 violate mass constrain.
Tue Jul  9 15:20:40 2013, (4837020000 clock):	192000 evaluated; 0 wrong controls; 169960 violate mass constrain.
Tue Jul  9 15:21:05 2013, (4861820000 clock):	193000 evaluated; 0 wrong controls; 170843 violate mass constrain.
Tue Jul  9 15:21:31 2013, (4887720000 clock):	194000 evaluated; 0 wrong controls; 171687 violate mass constrain.
Tue Jul  9 15:21:58 2013, (4914250000 clock):	195000 evaluated; 0 wrong controls; 172539 violate mass constrain.
Tue Jul  9 15:22:25 2013, (4940730000 clock):	196000 evaluated; 0 wrong controls; 173355 violate mass constrain.
Tue Jul  9 15:22:51 2013, (4966540000 clock):	197000 evaluated; 0 wrong controls; 174193 violate mass constrain.
Tue Jul  9 15:23:13 2013, (4988970000 clock):	198000 evaluated; 0 wrong controls; 175193 violate mass constrain.
Tue Jul  9 15:23:38 2013, (5013260000 clock):	199000 evaluated; 0 wrong controls; 176135 violate mass constrain.
Tue Jul  9 15:24:03 2013, (5037960000 clock):	200000 evaluated; 0 wrong controls; 177014 violate mass constrain.
Tue Jul  9 15:24:29 2013, (5064410000 clock):	201000 evaluated; 0 wrong controls; 177838 violate mass constrain.
Tue Jul  9 15:24:56 2013, (5090390000 clock):	202000 evaluated; 0 wrong controls; 178674 violate mass constrain.
Tue Jul  9 15:25:22 2013, (5116530000 clock):	203000 evaluated; 0 wrong controls; 179503 violate mass constrain.
Tue Jul  9 15:25:49 2013, (5142540000 clock):	204000 evaluated; 0 wrong controls; 180355 violate mass constrain.
